Account ID,Balance,Credit Card Balance
26823123,2723,639090
29648437,6767,855993
19917650,4154,705328
30742296,2478,764692
36545170,4328,882069
31979085,4342,927067
22278313,2920,667220
24326667,6561,965973
37086044,7882,700227
39454423,6763,625829
22138655,8023,812648
32767347,4651,634939
24057399,4945,939840
32164676,5226,696948
31123836,8728,682379
38524832,6540,914731
33848118,4360,902747
25948652,6146,936183
22880938,8263,964538
34072388,5997,834658
38991598,4317,860900
22714415,5546,927402
36973808,8855,995687
34959851,6222,931234
29173051,4444,915864
35229594,2938,804891
38818957,6981,730364
39526786,6997,911969
20293639,2677,654374
32550287,3452,895258
32492327,6543,734475
31325168,4430,911353
36664570,5309,799085
33122374,8454,712354
20252960,4938,905133
28495765,4040,865900
34974067,8172,638930
26023608,6807,876505
26671684,8198,704849
23388921,3771,871093
22000426,8019,721345
36422303,2234,878292
39307082,3066,883582
37204930,3117,799295
35029369,4427,652447
38185263,3079,748338
30634869,8321,858879
29121793,2424,956031
37876952,3840,966156
28775903,5866,667974
22343990,6913,907319
32268425,2938,651778
33407276,7655,793700
23437255,5905,929998
37869712,8598,889559
34276640,4816,729534
23589366,2754,915898
30784335,5749,957808
24290796,4622,987824
27040373,7029,767846
36920083,6620,696383
37073887,8341,858618
38828007,4870,827929
38437910,6900,695209
27936853,6195,749203
30497266,4631,806523
20342083,5231,888557
35251543,4072,914727
29810214,2248,808837
29486080,4572,748505
35328867,2272,841010
37753319,7167,814864
35343041,8171,671003
23307669,5309,936288
29462233,4228,753304
21218801,8996,631778
36870574,2643,751339
28527500,8862,923726
24998893,7610,878694
22001329,3317,821801
21237825,5598,756129
39852483,6891,970787
18926129,8996,717908
33019006,2765,975183
34153774,2795,772553
28286534,4284,856874
37159670,7926,763074
29622180,5670,690629
21174245,2161,886946
21686160,2237,811487
22353332,4638,857114
26045116,7357,896057
22840426,2061,731477
21687697,5847,642183
29433647,5166,846667
38722968,4519,806734
37305636,3265,869899
33587675,3146,867972
39395684,5075,670825
29504107,8795,969289
37376779,5674,659208
26367632,8714,966334
34681303,2978,743809
28168430,6204,836371
32432822,6878,896158
31982369,4233,866877
39058990,8932,996965
35880180,5665,680997
28276558,6224,936178
26737424,2043,746576
24467424,8061,808501
29617326,6423,827954
32051442,6176,719713
35011048,8569,923205
19221500,3691,757520
28612139,2209,992159
25806025,6120,985799
26705524,6229,700587
22109109,6413,708903
22148280,3740,652119
28058162,2281,867585
33492026,4530,695475
25874721,7527,991932
35933484,4234,875244
20026959,2391,689634
34732415,4139,689576
22645856,8037,936469
23530187,2942,792945
27215006,8246,796124
20012032,8104,694030
36173619,6161,661732
28704471,6890,772363
21273092,8767,892034
22208270,7615,934503
29917570,8495,768891
38798295,4902,738090
31993912,2189,984156
37984793,2258,996528
20262130,4436,981141
27332801,6023,932225
32475388,6491,705820
29231567,4994,991671
33862118,2681,799748
25049731,5322,814397
24484453,6100,681781
20791725,5516,901418
35262855,7350,630480
33520755,7225,667993
24887204,7228,886950
38921620,3971,641699
31803787,6922,993432
33340833,6088,687514
31781232,3026,856416
29337728,2280,891112
19230522,6448,699020
29622014,8453,801451
25333313,5666,973435
26973276,7376,970405
29540069,4603,805086
32139265,7871,779644
31795852,3935,697043
21151171,3898,809097
23138512,8652,640501
23996385,8089,709435
23950026,8752,825873
23046029,5294,809051
25064273,2889,666719
23742160,3069,798081
34784895,2688,665226
19912935,6870,821079
22784608,5455,882320
26261722,7430,979952
29672327,2768,750160
32892297,7525,753132
23357984,5104,913330
36918739,6102,807346
38910309,8229,779661
21388490,3353,838728
25926698,6263,906244
22532480,6021,665774
38268671,2199,799563
21636528,6922,659466
32849517,7048,739291
29118821,3144,813796
24432575,3533,662858
28790408,4959,850845
39485006,2818,858069
28722887,7665,939639
37635396,5739,988712
39892054,4526,672401
18983973,8903,958206
30025963,3641,943375
29453801,4376,876778
34019382,4480,690656
36830754,6453,824147
29245236,8752,646929
29332438,3681,916839
30986555,5984,786461
21382942,3085,975705
23054078,8752,866703
20298893,5743,804889
38314619,3854,825278
20399168,6192,654868
36787153,4759,739969
29237546,3799,843032
31709360,8875,933935
33187835,7654,744621
26785557,5648,683009
20718417,7982,886223
34010020,3629,756544
23551336,7943,725791
25479350,4829,745427
31432831,3329,645260
20151475,8281,851108
30023820,7502,668748
26211023,6021,725021
26969549,3272,741249
20619959,8213,935944
35424406,2949,682262
20223981,6593,753492
34992280,4197,772992
34424739,6585,631031
29005595,6581,656925
35531936,4956,817199
28863608,3821,876140
24157515,5470,644538
32725180,6663,745520
35086555,4882,940812
20572455,6568,937421
35288318,7741,898398
29475060,4893,838683
18855958,4365,751488
39034267,4592,963087
31278642,4104,835816
20890881,4435,831535
23993874,3782,902879
37198196,3591,759761
21769687,5142,781168
18951155,7879,973151
20089990,8111,797354
33504264,8272,966014
27564049,4788,803275
27090052,5118,843907
29633290,7313,716632
19698600,8282,643165
32338170,5434,930765
38369021,7789,944563
22056459,6328,652699
35269518,4138,866394
26855779,4047,877064
35251172,8140,831430
36332590,4216,959701
37659235,3857,677207
25253121,7898,969652
23240018,8360,863308
34983214,8290,868895
35916647,6514,973782
19230314,7490,782831
20485596,8476,628983
33485877,8823,990331
31349642,8878,800932
29188050,8101,926406
22696631,8469,963292
29710614,7441,837720
28613613,8095,998521
20710550,8957,863071
39362082,4367,812776
23932672,4144,820728
31318754,5033,812804
20445742,7024,744213
24644788,4448,735997
32020089,2722,883213
37677161,3961,653800
27040365,8126,692555
31178498,7024,870924
35416447,2941,846258
33040220,4735,912498
21383120,2193,793339
19453018,3002,969219
32162360,6505,932223
35896578,3373,815586
28467895,2821,660166
24957364,6168,870389
34615953,8771,704109
19063149,8206,800353
27874909,8821,684903
29390031,8631,652554
27395894,7071,785596
39079785,6041,668625
33005129,2224,939782
38212874,8448,985821
21774822,3498,822439
38689316,2259,906491
22956442,5500,651708
20033944,2222,652716
28467341,8033,688059
37363591,3681,766372
19227824,8557,687035
19666139,5108,796911
35345998,4083,932930
31215970,3495,952295
28690181,8040,882819
33798644,2252,857408
36121857,3641,651849
23605423,2572,985486
29804662,6434,642806
22217063,2978,754893
19651315,8584,878955
23377470,5020,839042
21905436,4750,785819
33968923,6481,834622
20944981,7651,786013
29949013,8308,965693
36063270,5167,772270
22684332,8391,859082
26045332,8178,734205
34123700,7292,738124
28192223,5067,979186
31222086,6491,641846
38970560,6764,899506
21034368,3032,825675
32106443,4866,938248
37924194,4549,840220
29822830,6989,859863
34186137,7747,642811
21233803,8278,636006
39641695,6316,736648
18913051,5630,779400
28270816,8491,698754
22628004,7242,828853
25032732,7279,667409
31291051,3057,807895
38755044,4321,943458
34598530,2398,983209
20924942,4645,794399
19996430,5000,914304
20252731,7570,822080
35818391,3427,915756
36696803,4893,920542
28385548,6805,773917
24146114,5785,635529
23831454,3647,900260
24966419,2964,629853
20541226,2194,747110
23020935,6304,959466
22430266,5975,983009
19434212,3666,711036
39714869,4916,908847
30732298,6462,840043
20469932,2472,965460
23171118,3687,868891
24142201,6228,862855
32716524,2359,842168
26914092,5703,955138
20068002,2998,808068
33434210,8561,726963
29235534,3274,822160
18911055,2688,713376
33874188,4186,741812
28383712,6824,948547
30410145,4606,919205
34319738,5100,961254
24776169,5490,683884
29033485,5741,671476
31863202,5913,716508
25370084,5788,899448
37902615,5605,739063
34242364,2497,864611
27468146,6229,699524
32875722,2612,765755
23329521,3866,940095
38271526,6887,857784
36839881,8724,652852
20902297,2082,907221
35760833,4745,776970
38137859,3826,825856
31517934,8074,817080
33423071,4242,671269
38630785,2021,682187
33798723,6609,761384
25444378,5043,704241
32267486,5364,965778
36127948,4050,939485
23383608,8107,874164
19099137,3271,995044
29172937,6333,869588
26726150,6586,947194
32977242,3613,979048
19666032,2194,727812
22762878,7941,708983
25449297,2338,935157
33151809,2563,973439
27449819,5492,668686
22872011,4042,694943
18966727,6730,689959
34260515,3763,825037
21558128,7067,770532
37632428,8871,927331
22604160,5110,695129
36426122,7973,631206
19690370,5267,652579
29283485,3809,648489
36259254,3261,761998
26063253,8683,692501
32884831,6942,627492
39918832,6813,986608
19423516,4864,951638
22823849,7170,633789
23876890,8660,736106
29437092,8779,927533
39717981,6922,683872
20053019,3217,878039
37134655,5832,834169
36009797,7813,801264
35600995,7925,894638
25681088,5928,834400
30167966,6904,752326
25311093,7573,667518
21492901,4082,830027
38820845,8346,668714
34556595,8000,853536
27169303,5860,988959
19487646,6553,697294
21906302,3045,962513
38342504,7757,850328
23576927,2759,793629
33992121,3290,886741
27194842,5113,967573
31889385,6159,828388
34432377,2525,822357
34939766,4080,991951
19147008,2149,840612
27376856,3500,821042
36193946,3513,726172
37275060,6963,787070
20100790,3565,919229
27867913,5543,932962
24626857,6076,975452
23455518,7333,779497
22027917,7241,769714
37908424,4858,705519
33124590,6024,907076
27196089,2699,888355
21069754,6233,907572
39482364,3192,680218
38430455,2061,687536
38771145,5677,804987
32500150,5717,929179
29891723,7791,760242
22183774,4084,638543
33145960,5708,887985
32162291,8247,697698
18852015,6100,680836
36097077,3396,924755
21330073,4585,766407
39498092,8985,747128
21310841,4595,779314
31285911,5834,928308
27236654,8297,731179
32111864,3304,893625
33349039,2167,879834
23314149,6228,935633
26744540,7794,868265
21474610,5420,648371
26089473,2930,771338
35684705,5485,804396
21293790,2580,791924
19527293,7452,993014
29978957,2170,686847
27499431,5651,676988
26794391,7176,745281
36867501,7556,772361
21341479,6113,912778
34601103,6237,910318
19142089,4073,709886
21701997,3849,778120
27394391,8781,890009
34745407,3990,844761
37877393,2823,723157
27908013,4512,953754
32747143,6118,739076
19905658,3022,671810
19442747,2203,719278
35344093,2076,754851
19897834,8779,803180
34226100,2829,630525
35076684,6187,998771
30596929,3079,647742
26819994,2778,767221
34493957,7859,780137
33005254,3888,645988
34797927,5391,732003
27234513,6865,727866
18905376,8059,819100
20608983,4094,982455
31196503,2131,756852
39724091,8354,945264
34107745,5185,669102
32533037,2332,921752
27698938,6037,809333
32146449,3851,875181
31921972,2324,897541
36323439,8908,711589
30443656,2738,951248
34262096,3140,985863
28740532,6692,958197
31590787,4583,899771
22577855,5288,776563
39658043,5320,864064
36503029,4126,824128
28760751,4602,992968
25711795,2436,864564
27738904,4352,975977
28050841,4598,932512
31646976,7815,852927
24525098,3927,980877
38520769,5811,692731
39948297,8607,769591
33312590,6459,956018
37360320,5736,831641
22972482,6606,943376
29605660,2336,796397
26816109,8120,649359
26134526,6337,726687
38068690,6098,739076
28409840,8861,675623
26000392,7343,865327
21788784,3243,662899
31626124,7327,912702
32322872,7803,965225
36174236,8710,648031
23088436,7640,784662
39792815,5907,854461
20091540,8552,983483
35690071,6686,666607
21567930,6156,871776
26975122,2881,746454
34668829,7026,912899
39263811,3112,721822
29663525,6007,915982
31291850,8927,858340
37192622,8494,708675
29252778,3746,702958
33829135,3215,709492
21380374,6571,812373
38613360,3571,700231
34128707,6421,667347
20213220,7861,793503
33540942,6021,731315
21468207,4515,887036
31565762,2706,784632
31724136,7583,663504
21856946,6196,639772
24971498,6879,704614
37408059,5999,646360
33124376,2168,732032
29050363,4403,867585
28788679,4370,647008
29508429,6708,644501
20386342,4529,996375
38867757,4907,971611
32063412,8174,686769
22328343,8395,785465
34988281,7611,796717
29616227,3335,631134
35351641,5464,899967
24690794,3407,819135
30867175,3755,633061
26086701,2862,969869
19110235,6859,785799
19510211,7721,771829
36908939,3339,763634
24503740,8076,982966
27778673,4903,888297
22531675,5146,742210
21104083,8171,868185
35502102,7719,745834
37600905,3582,795878
24921213,2724,764025
32092212,4169,631411
26451612,6057,712929
26260768,4832,786994
25583433,6362,629572
36874096,8775,643809
31607226,8408,774221
33441204,2290,754393
21752143,2635,974992
26205601,2645,640105
36316825,2460,751718
26408552,2455,678528
34561301,4521,846700
26978434,2401,707279
30634937,7515,665915
36651520,8482,879550
38883770,6275,675654
28416339,2557,825259
30830649,6737,839661
36926906,4819,970396
26749918,8772,895073
32619129,4345,758535
35911551,3179,702702
32692408,3834,759721
29241452,6041,879640
31076401,7170,907254
39507785,2495,895911
21088713,6635,720914
26707460,3286,896784
37274746,7693,632735
35933803,7058,769881
27727995,6806,815158
32967314,5906,861531
23057645,5502,735709
24562250,4882,873442
22913660,5675,863708
35119612,2597,746964
37992854,5055,779080
29130671,8857,754400
31183880,3873,801110
37116040,3768,659532
21305009,2663,811205
24636285,2393,667173
27050288,6256,797280
29824215,5364,702495
28666817,4465,679924
21743723,5637,636010
31346378,5762,819362
27564606,4168,680944
32698159,6879,922790
23893912,5622,949993
38723385,4195,632395
29357469,8793,918311
37333974,8000,877583
39957265,7165,658490
35883313,2814,822666
21107850,5975,800567
23140203,6155,906511
25672281,7427,784268
28046544,2967,672127
32813038,7877,747733
25363284,4668,722578
37809633,2654,653320
20835107,8936,688731
20192013,6848,836571
31895130,8264,670837
21880869,3682,644258
21360740,4283,739600
33790592,2134,824114
34525420,6984,640795
39678917,8355,909864
23951499,2109,821794
37015698,5470,760725
37817503,6356,852638
33928192,6417,944592
35377883,7725,840805
32443929,2298,852790
27411833,3209,853117
24106483,3473,768845
33802934,7836,731905
25611992,2517,733187
18952161,7167,889578
39107241,3142,772362
20917732,5592,661572
21030761,8649,917941
35796993,8495,958300
24582697,4488,758029
27090110,3809,942335
32282075,7202,853681
32110182,4230,685294
33646895,7121,701975
32329942,4926,783347
30900866,8390,782143
24421670,4934,948165
28123174,8349,768649
26856127,5037,868717
24016538,6403,698316
39459121,3720,747960
22519976,3141,925453
28649154,3138,836124
35923099,4342,874362
39899608,2298,933993
20238070,3973,838621
33801265,7976,662079
23408958,5666,678919
33579854,2949,697071
31916137,5656,803432
37305698,6570,908812
32493900,6408,854897
24387589,7479,802819
39103883,6537,827916
19747926,8882,728361
33094177,5236,933090
23166386,6333,892788
23562077,8247,736928
25823060,5756,762070
29209211,4063,882957
35347474,3569,998404
32963353,5438,831496
34822427,6687,962930
18874517,4100,720427
34729120,5864,812316
23196700,7789,930611
19224039,4009,676071
24200551,5319,776557
25946373,7163,628332
39596207,3473,917779
37929171,8101,642694
26755452,4065,937092
38400118,2157,687582
25306432,5239,778464
33497884,2565,880761
22490633,2126,738262
21323163,8049,819558
26420623,3418,846573
39268446,7863,822451
37598925,3301,874582
32053352,8414,988059
24000983,4982,949145
29554627,5228,706555
36172632,8103,695477
23869424,7832,840346
31688013,7512,682180
20586613,2441,844963
38552275,8970,944861
34731814,4797,676994
27635320,6768,756198
23663418,3096,645110
38146273,5875,625506
31082924,6418,771680
20855551,4240,696020
37097650,8683,897707
26553775,4706,810346
39530921,4928,970721
31824105,3579,828857
28295503,6358,916629
18954236,7531,896599
39930047,6026,937080
30127159,7593,833256
28677373,4751,769411
26353967,8123,741202
38295184,2132,978087
33951737,4818,702657
21850096,6628,825476
38725911,7582,904092
34547448,3795,894198
32382691,5471,714953
29855060,3129,770478
23450091,4529,964451
32846223,7059,730710
29792045,7697,659293
34735223,4055,645518
27815301,6216,637508
22445812,6295,869009
21525417,8136,999170
33250952,3046,783966
32480294,6684,630082
33139452,8255,898970
22805890,2900,646174
39293071,4884,940091
36497908,5956,754879
20009637,8207,929642
37657040,4445,946910
27526097,2490,923554
27390542,6887,889037
30683028,2029,674807
34844184,7405,969842
28059869,8023,885221
23784549,3918,964570
27083806,3297,782165
23214477,7694,662021
29555578,2670,735711
26245534,3416,995197
28533489,7877,635007
38705860,2569,918661
34678195,3501,867815
21684919,8876,935861
28657970,8028,775251
33952923,8211,819042
30996137,4700,663444
38519458,7383,674382
28761737,7047,629961
36958580,7332,659102
30971682,5818,757059
35395333,2395,977835
39479945,6020,867756
32246570,8442,869846
34845333,2674,837565
33785695,8711,644304
20784433,3206,780695
30855059,2850,802014
32406914,8903,733924
35534681,7500,980084
38130722,7063,658245
24701067,5174,879108
28817207,6688,899192
24079046,7317,834644
20845209,8048,724808
36626898,5872,658197
35700072,3630,829742
26343293,5100,713327
28474945,6289,890075
30416325,5980,832822
35677593,4316,799942
24605447,6105,723243
26846545,3691,841021
39634696,4171,960550
25391484,5299,818600
28216432,8302,786233
35171065,7278,683524
26000937,6369,744933
31252688,6939,798239
19922806,7746,659470
28939992,5349,669081
38972649,2414,835572
23702248,3457,780218
30328579,3875,767045
36433170,6179,778206
30471567,8565,789521
29019968,8350,747952
37923455,8449,706822
32037386,8852,792903
32982683,7565,811082
36474384,2709,858061
28808478,6079,669333
39575001,7454,669096
36396956,8731,877199
26022805,7331,671847
37004953,8822,760420
39317952,2891,659593
32273844,6474,930300
26400321,3708,796395
26599061,8543,776659
28954894,8456,855878
30556933,8827,792130
26593023,6900,982886
25501000,4557,799655
38879318,7625,851032
29074224,7083,934242
27921774,4768,630068
21116973,6415,804802
25595777,3154,822924
30871596,5774,977396
27366581,3815,756337
21211691,4589,675604
22261186,7537,950573
22878089,7102,896836
22662881,5290,895549
20958432,7786,810455
22036166,8779,872148
29835355,6164,953556
28404919,7459,990404
23585865,8336,747864
35212776,8942,774917
29366868,5858,871813
24145240,6223,653868
22811177,5959,922171
32846450,2829,883669
20998700,7945,680209
37584165,4757,752500
19639845,3104,849887
29848504,8231,744563
31030275,4408,920446
24103955,5017,662282
27425103,6919,725687
27070347,3151,938397
24192391,8675,903732
39904988,4786,954045
19638103,8636,644855
28825062,3627,955298
23931019,7650,765660
28115035,6584,687791
36150785,8881,856656
25637053,3942,799185
21678770,3127,916714
20829586,3044,983055
34233052,2182,871848
30214834,8061,954495
30286309,8596,661057
20693762,8125,815915
25365052,7030,924287
24382053,2440,995639
18771612,2210,924817
19099127,3070,737153
31291324,5087,805503
22212891,4612,651394
34654541,4057,874320
31589760,5740,876198
38279570,4898,775595
22237938,5389,795290
33878718,3267,832039
27162262,3305,883298
37399443,5655,933134
22060859,5655,705513
27900813,8515,670397
29145598,6315,782195
30524045,5901,815629
39485189,4174,703865
18924374,3903,638543
25411289,3965,874002
21855643,6957,800175
25794081,5736,717373
21766361,5777,892042
21292265,6254,905346
33523384,5165,649746
28421158,7075,625853
24572282,6897,923031
38420511,6345,674530
38412603,8382,816877
26951835,8433,889440
29500603,5694,708511
32632351,4930,681353
28312906,5263,830920
39923443,6025,990736
39901370,8105,698778
24817672,3679,635145
37033232,2720,701647
28170097,8603,808015
26968182,2081,732354
19552854,4092,827928
33705254,6427,805735
35456448,6009,857250
22955289,2044,943139
27504710,4881,828698
20365963,6056,877899
27184269,7073,908792
24203340,2208,642122
38608273,6073,828016
29695193,3486,735009
20010798,8909,708580
19602232,2870,962229
35758726,5566,982337
38202011,7068,944892
33252997,6908,877105
27817008,7430,845994
27837750,3161,637882
37093465,8940,722639
21670658,5384,909640
29457241,3165,959263
38232652,8084,979988
34394744,4157,722639
32759264,8601,825200
38069413,4354,735771
34497879,4994,661809
29741955,4110,873385
25499974,2138,752956
34979079,8226,661851
38019733,7039,960379
22374879,5779,721881
26846074,2030,865126
26702677,3743,818457
21692686,8006,686165
19952219,7430,629668
35263070,7767,931203
34446411,6790,956277
39377373,4958,945221
19763264,5831,952886
20657594,3659,866988
36815367,7545,925413
24685296,7023,941835
39845487,5454,814929
33045160,5144,978822
39457041,8748,944456
19712581,2236,906637
34909692,5229,988440
28474644,8619,732654
21688488,3085,874262
37529598,8028,693480
24859116,4615,630073
33077107,5363,769897
22633233,3690,866731
30917119,7025,906182
22768022,3790,673939
37954080,8292,789624
20414983,8138,818317
23953394,8988,789086
25705015,5347,788479
20801151,4715,760649
24752081,7390,854290
37908290,4206,968012
39270037,5142,893981
38680727,3647,841390
32661915,4813,701684
28703822,5014,767280
25643235,5534,662447
34009760,2665,866499
25658842,3958,892338
21196608,4071,656228
18934339,2590,639936
38940793,5847,895251
31595814,3730,677628
38637104,6209,828287
38527192,4372,741975
23968893,6836,965814
39091997,8462,779122
36558891,3667,906224
19335601,4046,817162
30467160,4207,994627
33914871,4390,914639
24521503,8828,923468
27025396,6864,822513
22101886,5279,722882
27778593,4059,780449
24027620,2627,643215
33296240,2760,959557
22402790,7020,670341
25419093,2335,773669
24595335,3686,863780
36604928,6391,700591
37974221,3071,855186
33516385,3006,831544
31423698,8686,724165
38552582,2435,764681
28029513,7905,670971
26388647,2273,695695
35232974,2399,896732
36698140,5913,933413
19453531,7518,790791
22919143,8266,853944
32253279,3710,631528
20429700,3834,956865
24620207,3279,829487
33305338,3535,941820
28852390,5630,655106
33935081,4399,932325
31393213,7930,984075
30382026,5648,939803
29063488,3231,813270
39264843,6330,666567
20456675,3705,876543
25794091,3089,761927
35713957,2271,722748
26654634,4851,709918
30919853,3862,851780
29402224,3408,887679
24744517,6636,859032
39617567,2158,710029
38296531,6940,951192
25384158,8316,953171
36121098,6315,943144
19786113,2617,952652
32718625,6684,937878
22377200,6123,824609
32318799,6060,783754
28652699,6346,966020
26567350,4233,926757
22115606,7124,941833
22940102,5047,637556
38490637,6454,775266
31254798,7462,666092
33486765,5270,932970
30426408,3828,678034
20521685,3693,705645
27382983,7247,933416
23711912,6350,916067
24803478,2541,649247
20491330,8908,889566
21089396,2095,882842
31220220,7923,676308
31076420,2213,936917
26009137,5475,989639
35846101,7846,883334
24754647,2575,965142
33350216,6279,801385
38825373,5377,693920
33074507,3852,712290
36836530,2296,672155
29795628,8017,650363
19325038,4895,810978
35552629,2282,825393
23351771,3103,956312
28762855,6065,704060
25162854,6742,905753
25802154,6441,629377
29644911,5074,692306
21907706,6612,885698
38387370,4750,832407
19508338,3975,804996
25796367,7554,736535
19423708,8296,635687
23294456,5768,821928
19446707,8385,775909
19311471,5180,946443
36513290,7278,738745
20361052,8273,838954
26794906,6200,963783
22061874,3937,712471
29526993,6780,902284
31237016,4555,909987
30833112,6739,914776
33262118,7639,739958
20212625,2979,734970
39062341,3693,649007
18899800,3954,940002
21773334,2983,698601
20555633,2306,789665
32786943,7394,730176
32602195,5826,912828
20977286,3359,657549
39581258,2067,962691
21467494,7031,824621
27809366,6090,675825
36181786,2604,654198
39133665,3949,843540
20043775,5081,648303
19225870,8705,996052
38364333,2077,995976
28783610,8170,775480
24469732,7301,787107
26077013,3092,987837
39693192,7618,853931
26381269,3105,852832
28443838,3495,739736
24869580,6318,703093
28680234,7861,867030
29707216,8643,698574
33024236,6482,724659
35816814,3602,888458
35275253,3774,862771
21502236,5231,683644
39133147,8753,628503
28757946,7188,722619
31851948,2390,726526
27574856,6856,650328
22397835,7771,738965
27860060,4020,766855
37983497,3859,785179
20165991,6767,964412
31025268,6765,734739
35177688,3845,799535
39401473,2150,738679
36952001,5171,737869
29639528,4355,737954
19146213,8089,858084
39919099,2700,842774
29460498,2216,999542
29362827,6589,970799
24668210,6882,854864
30098813,3634,924689
35781931,5791,956026
18975137,6356,693066
20337494,5046,839096
20598748,7840,829012
26555763,7055,799922
39447928,7724,710334
26746261,3959,749716
23724765,7710,784332
20007848,4324,949571
36937227,3454,738319
31274221,3482,642516
24935353,8250,742315
27233706,3545,769317
34378720,2346,822826
33782552,7163,916331
28214452,3955,771852
36681786,5377,791930
23682205,6181,675839
21325115,4093,951936
28070473,5951,886518
34349427,2884,626053
35373929,5197,803930
30869209,7147,961709
36069429,8886,641804
32623337,6347,922207
23201335,3864,663850
22403132,8838,804543
30967325,7755,801500
29826212,8388,872175
26091944,5303,770447
22182838,4547,795338
24068635,2810,979017
35750163,6667,700241
33745037,5694,781673
32955536,6609,818200
26212376,8822,900970
38830386,7047,834376
26758345,3611,655066
34740179,2881,641294
38844412,6133,796254
31885995,2828,973997
32120625,4005,857870
32140508,5332,681175
19673809,8598,930160
27541463,7981,688573
35325559,2697,951765
32179117,4647,868612
39380824,7214,628935
26858817,7398,980544
30082095,2068,761891
38291976,3428,643588
23251898,3090,728931
35124235,5147,744123
27958149,4739,712001
30494409,5046,875738
19308940,2027,742232
26646314,5759,974847
35471124,7459,925179
29242345,3354,645052
35912795,5692,769090
30875864,8957,921102
22624832,8009,884234
22864536,3934,897607
34710531,5626,786052
22146780,8235,913668
31996365,2253,716672
19379502,2825,813472
19940177,7708,884484
21105098,5867,919037
25962529,8521,896496
33300661,2606,680577
33296278,3971,840178
29236813,2276,774673
38825652,8745,903589
23141183,5676,848358
19961249,2625,708445
21366406,2258,677657
27283835,2846,757910
30879751,5025,748025
28601536,6301,870270
30428388,2360,897796
34393323,7475,644068
33061381,8862,819219
39692196,2066,688290
19749975,7118,744921
31491861,2231,664094
34112214,5155,752064
37766991,4462,749278
21175662,5449,637339
29148849,2973,790317
35008570,2196,842019
38497765,5355,662748
25663006,2895,727690
25394829,7056,735377
22638194,7572,995873
30135286,4193,861517
37894046,5134,698541
36878526,8730,678541
29172030,5542,659231
34608074,2842,853143
33607332,7826,859168
25436630,7193,960757
30559310,6581,693965
28396159,3025,974552
36194135,7352,812920
39099687,6248,678544
35234928,2007,730839
34075703,4752,764482
20843832,6019,943468
23854917,6344,836953
26735239,6838,662340
20283135,2842,946837
20588860,5141,679926
34830645,3776,762847
26583326,7938,888189
19999752,7489,869463
34363164,3627,995370
19871844,3113,645172
27418006,6101,790379
31884144,5834,810788
33305240,4524,840594
30326421,8777,867140
37473549,5330,662428
36822102,6683,823267
25820528,2747,944142
30085350,7397,905775
23636588,7675,800316
38341117,7574,728755
21912562,5311,990105
29885287,7213,882535
19922411,5738,657615
38424605,6510,965513
34828350,5447,972994
28073857,3210,980098
21246092,4484,936838
28758445,4939,909830
31511526,4523,666758
34861594,8434,696375
36197410,8574,636533
20080741,2421,898100
